time_min,time_hour,strategy,vulnerable_vehicle_count
26580,443.000,ota_only,12
26610,443.500,ota_only,12
26640,444.000,ota_only,12
26670,444.500,ota_only,12
26700,445.000,ota_only,12
26730,445.500,ota_only,12
26760,446.000,ota_only,12
26790,446.500,ota_only,12
26820,447.000,ota_only,12
26850,447.500,ota_only,12
26880,448.000,ota_only,12
26910,448.500,ota_only,12
26940,449.000,ota_only,12
26970,449.500,ota_only,12
27000,450.000,ota_only,12
27030,450.500,ota_only,12
27060,451.000,ota_only,12
27090,451.500,ota_only,12
27120,452.000,ota_only,12
27150,452.500,ota_only,12
27180,453.000,ota_only,12
27210,453.500,ota_only,12
27240,454.000,ota_only,12
27270,454.500,ota_only,8
27300,455.000,ota_only,5
27330,455.500,ota_only,4
27360,456.000,ota_only,1
27390,456.500,ota_only,0
27420,457.000,ota_only,0
27450,457.500,ota_only,0
27480,458.000,ota_only,0
27510,458.500,ota_only,0
27540,459.000,ota_only,0
27570,459.500,ota_only,0
27600,460.000,ota_only,0
27630,460.500,ota_only,0
27660,461.000,ota_only,0
27690,461.500,ota_only,0
27720,462.000,ota_only,0
27750,462.500,ota_only,0
27780,463.000,ota_only,0
27810,463.500,ota_only,0
27840,464.000,ota_only,0
27870,464.500,ota_only,0
27900,465.000,ota_only,0
27930,465.500,ota_only,0
27960,466.000,ota_only,0
27990,466.500,ota_only,0
28020,467.000,ota_only,0
28050,467.500,ota_only,0
28080,468.000,ota_only,0
28110,468.500,ota_only,0
28140,469.000,ota_only,0
28170,469.500,ota_only,0
28200,470.000,ota_only,0
28230,470.500,ota_only,0
28260,471.000,ota_only,0
28290,471.500,ota_only,0
28320,472.000,ota_only,0
28350,472.500,ota_only,0
28380,473.000,ota_only,0
28410,473.500,ota_only,0
28440,474.000,ota_only,0
28470,474.500,ota_only,0
28500,475.000,ota_only,0
28530,475.500,ota_only,0
28560,476.000,ota_only,0
28590,476.500,ota_only,0
28620,477.000,ota_only,0
28650,477.500,ota_only,0
28680,478.000,ota_only,0
28710,478.500,ota_only,0
28740,479.000,ota_only,0
28770,479.500,ota_only,0
28800,480.000,ota_only,0
28830,480.500,ota_only,0
28860,481.000,ota_only,0
28890,481.500,ota_only,0
28920,482.000,ota_only,0
28950,482.500,ota_only,0
28980,483.000,ota_only,0
29010,483.500,ota_only,0
29040,484.000,ota_only,0
29070,484.500,ota_only,0
29100,485.000,ota_only,0
29130,485.500,ota_only,0
29160,486.000,ota_only,0
29190,486.500,ota_only,0
29220,487.000,ota_only,0
29250,487.500,ota_only,0
29280,488.000,ota_only,0
29310,488.500,ota_only,0
29340,489.000,ota_only,0
29370,489.500,ota_only,0
29400,490.000,ota_only,0
29430,490.500,ota_only,0
29460,491.000,ota_only,0
29490,491.500,ota_only,0
29520,492.000,ota_only,0
29550,492.500,ota_only,0
29580,493.000,ota_only,0
29610,493.500,ota_only,0
