source_line,timestamp_us,can_id_hex,dlc,data_hex,uds_payload_hex
1410,52977148,0x7E8,8,037F2E3100000000,7F2E31
1411,52997390,0x7E0,8,052E12346F3C0000,2E12346F3C
1412,53001477,0x7E8,8,037F2E3100000000,7F2E31
1413,53021756,0x7E0,8,062E1234BEC15100,2E1234BEC151
1414,53025836,0x7E8,8,037F2E3100000000,7F2E31
1415,53046121,0x7E0,8,062EF187B103F800,2EF187B103F8
1416,53050208,0x7E8,8,037F2E3100000000,7F2E31
1417,53070445,0x7E0,8,052EF18785450000,2EF1878545
1418,53074531,0x7E8,8,037F2E3100000000,7F2E31
1419,53094873,0x7E0,8,062E123471A91000,2E123471A910
1420,53098953,0x7E8,8,037F2E3100000000,7F2E31
1421,53119295,0x7E0,8,052E1234EEC80000,2E1234EEC8
1422,53123381,0x7E8,8,037F2E3100000000,7F2E31
1423,53143680,0x7E0,8,072E123484C41439,2E123484C41439
1424,53147762,0x7E8,8,037F2E3100000000,7F2E31
1425,53168064,0x7E0,8,072E12347E0EB0AF,2E12347E0EB0AF
1426,53172145,0x7E8,8,037F2E3100000000,7F2E31
1427,53192444,0x7E0,8,072E1234182B668E,2E1234182B668E
1428,53196523,0x7E8,8,037F2E3100000000,7F2E31
1429,53216875,0x7E0,8,052E1234CA120000,2E1234CA12
1430,53220960,0x7E8,8,037F2E3100000000,7F2E31
1431,53241177,0x7E0,8,072E123485B43697,2E123485B43697
1432,53245256,0x7E8,8,037F2E3100000000,7F2E31
1433,53265594,0x7E0,8,052E1234EC860000,2E1234EC86
1434,53269681,0x7E8,8,037F2E3100000000,7F2E31
1435,53290110,0x7E0,8,062E1234C9F96E00,2E1234C9F96E
1436,53294192,0x7E8,8,037F2E3100000000,7F2E31
1437,53314345,0x7E0,8,062E1234C531DD00,2E1234C531DD
1438,53318428,0x7E8,8,037F2E3100000000,7F2E31
1439,53338763,0x7E0,8,062E1234F4E63F00,2E1234F4E63F
1440,53342843,0x7E8,8,037F2E3100000000,7F2E31
1441,53363117,0x7E0,8,062E12344B40BD00,2E12344B40BD
1442,53367200,0x7E8,8,037F2E3100000000,7F2E31
1443,53387538,0x7E0,8,042E12347D000000,2E12347D
1444,53391629,0x7E8,8,037F2E3100000000,7F2E31
1445,53411936,0x7E0,8,042E123458000000,2E123458
1446,53416025,0x7E8,8,037F2E3100000000,7F2E31
1447,53436316,0x7E0,8,042E1234C3000000,2E1234C3
1448,53440407,0x7E8,8,037F2E3100000000,7F2E31
1449,53460706,0x7E0,8,062E12349C2D1E00,2E12349C2D1E
1450,53464789,0x7E8,8,037F2E3100000000,7F2E31
1451,53485340,0x7E0,8,062E12349E81F300,2E12349E81F3
1452,53489422,0x7E8,8,037F2E3100000000,7F2E31
1453,53509474,0x7E0,8,052E123445DE0000,2E123445DE
1454,53513561,0x7E8,8,037F2E3100000000,7F2E31
1455,53533851,0x7E0,8,052E123494C40000,2E123494C4
1456,53537936,0x7E8,8,037F2E3100000000,7F2E31
1457,53558266,0x7E0,8,052E1234B53E0000,2E1234B53E
1458,53562352,0x7E8,8,037F2E3100000000,7F2E31
