trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
81,read_target_before,3.069416,3.259451,0.190035
81,request_security_seed,2.687319,3.081217,0.393898
81,send_security_key,2.939024,3.069834,0.130810
81,session_reset,2.924567,2.905779,-0.018788
81,write_target,3.021017,2.812961,-0.208056
82,enter_extended_session,2.901729,3.280681,0.378952
82,read_target_after,3.202881,2.783488,-0.419393
82,read_target_before,2.676773,3.077377,0.400604
82,request_security_seed,3.237522,2.801088,-0.436434
82,send_security_key,2.915837,3.114182,0.198345
82,session_reset,2.526966,2.900610,0.373644
82,write_target,2.907945,3.497117,0.589172
83,enter_extended_session,3.048744,3.077376,0.028632
83,read_target_after,2.545403,2.800738,0.255335
83,read_target_before,3.058451,3.235914,0.177463
83,request_security_seed,2.800949,2.782999,-0.017950
83,send_security_key,3.202042,3.070113,-0.131929
83,session_reset,2.776994,2.680752,-0.096242
83,write_target,3.076400,2.622436,-0.453964
84,enter_extended_session,3.224252,3.075001,-0.149251
84,read_target_after,3.006210,2.810097,-0.196113
84,read_target_before,3.021366,2.916045,-0.105321
84,request_security_seed,2.874840,3.185070,0.310230
84,send_security_key,2.965843,2.856680,-0.109163
84,session_reset,2.684875,2.674118,-0.010757
84,write_target,2.404814,3.219501,0.814687
85,enter_extended_session,2.660570,3.066342,0.405772
85,read_target_after,3.027163,2.901030,-0.126133
85,read_target_before,2.816524,2.950407,0.133883
85,request_security_seed,2.811775,2.880497,0.068722
85,send_security_key,3.250931,3.152804,-0.098127
85,session_reset,3.129828,2.926940,-0.202888
85,write_target,3.047975,3.088132,0.040157
86,enter_extended_session,2.928128,3.360510,0.432382
86,read_target_after,2.893767,2.801856,-0.091911
86,read_target_before,2.759814,2.851722,0.091908
86,request_security_seed,3.032121,2.671743,-0.360378
86,send_security_key,2.818340,2.808421,-0.009919
86,session_reset,2.670837,2.732994,0.062157
86,write_target,3.271534,3.409119,0.137585
87,enter_extended_session,2.864644,2.862757,-0.001887
87,read_target_after,2.794035,2.927639,0.133604
87,read_target_before,3.249674,2.897608,-0.352066
87,request_security_seed,2.890415,3.183115,0.292700
87,send_security_key,2.995525,3.045808,0.050283
87,session_reset,2.878403,2.615243,-0.263160
87,write_target,2.815406,2.891252,0.075846
88,enter_extended_session,3.021645,3.061244,0.039599
