vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0094,true,2823,410,2413,2823,2823
vehicle-0095,true,2833,447,2386,2833,2833
vehicle-0096,true,2862,400,2462,2862,2862
vehicle-0097,true,2868,570,2298,2868,2868
vehicle-0098,true,4315,617,3698,4315,4315
vehicle-0099,true,4205,692,3513,4205,4205
vehicle-0100,true,2871,964,1907,2871,2871
vehicle-0101,true,4251,500,3751,4251,4251
vehicle-0102,true,2881,737,2144,2881,2881
vehicle-0103,true,4224,416,3808,4224,4224
vehicle-0104,true,4213,467,3746,4213,4213
vehicle-0105,true,4283,990,3293,4283,4283
vehicle-0106,true,2887,490,2397,2887,2887
vehicle-0107,true,4204,731,3473,4204,4204
vehicle-0108,true,4306,523,3783,4306,4306
vehicle-0109,true,4328,410,3918,4328,4328
vehicle-0110,true,4323,550,3773,4323,4323
vehicle-0111,true,4310,809,3501,4310,4310
vehicle-0112,true,4243,775,3468,4243,4243
vehicle-0113,true,4276,413,3863,4276,4276
vehicle-0114,true,4261,426,3835,4261,4261
vehicle-0115,true,2889,793,2096,2889,2889
vehicle-0116,true,2899,421,2478,2899,2899
vehicle-0117,true,4207,478,3729,4207,4207
vehicle-0118,true,4306,724,3582,4306,4306
vehicle-0119,true,4261,437,3824,4261,4261
vehicle-0120,true,4230,758,3472,4230,4230
vehicle-0121,true,2901,368,2533,2901,2901
vehicle-0122,true,4287,489,3798,4287,4287
vehicle-0123,true,4296,470,3826,4296,4296
vehicle-0124,true,4256,779,3477,4256,4256
vehicle-0125,true,2902,416,2486,2902,2902
vehicle-0126,true,2906,554,2352,2906,2906
vehicle-0127,true,4259,526,3733,4259,4259
vehicle-0128,true,4316,671,3645,4316,4316
vehicle-0129,true,4302,918,3384,4302,4302
vehicle-0130,true,4237,454,3783,4237,4237
vehicle-0131,true,2907,459,2448,2907,2907
vehicle-0132,true,4325,678,3647,4325,4325
vehicle-0133,true,4222,608,3614,4222,4222
vehicle-0134,true,4289,574,3715,4289,4289
vehicle-0135,true,4315,486,3829,4315,4315
vehicle-0136,true,4333,451,3882,4333,4333
vehicle-0137,true,4194,609,3585,4194,4194
vehicle-0138,true,2913,434,2479,2913,2913
vehicle-0139,true,4230,429,3801,4230,4230
vehicle-0140,true,2926,727,2199,2926,2926
vehicle-0141,true,4204,599,3605,4204,4204
vehicle-0142,true,4308,760,3548,4308,4308
vehicle-0143,true,4313,538,3775,4313,4313
vehicle-0144,true,4334,644,3690,4334,4334
vehicle-0145,true,4219,627,3592,4219,4219
vehicle-0146,true,4201,395,3806,4201,4201
vehicle-0147,true,4239,591,3648,4239,4239
vehicle-0148,true,4255,756,3499,4255,4255
vehicle-0149,true,4246,838,3408,4246,4246
vehicle-0150,true,4264,555,3709,4264,4264
vehicle-0151,true,4317,414,3903,4317,4317
vehicle-0152,true,4275,773,3502,4275,4275
vehicle-0153,true,4291,806,3485,4291,4291
vehicle-0154,true,5700,487,5213,5700,5700
vehicle-0155,true,4302,656,3646,4302,4302
vehicle-0156,true,5665,411,5254,5665,5665
vehicle-0157,true,4309,416,3893,4309,4309
vehicle-0158,true,5628,677,4951,5628,5628
vehicle-0159,true,4335,698,3637,4335,4335
vehicle-0160,true,4336,680,3656,4336,4336
vehicle-0161,true,4341,521,3820,4341,4341
vehicle-0162,true,5650,584,5066,5650,5650
vehicle-0163,true,5641,897,4744,5641,5641
vehicle-0164,true,5691,483,5208,5691,5691
vehicle-0165,true,4347,541,3806,4347,4347
vehicle-0166,true,5701,732,4969,5701,5701
vehicle-0167,true,5653,491,5162,5653,5653
